MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:36:37 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517366184.503,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366184.557,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366184.608,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366184.625,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366184.794,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366184.846,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366184.870,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366185.115,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366185.144,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366185.203,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366185.230,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366185.520,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366185.563,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366185.601,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366185.656,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366185.836,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366185.871,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366185.958,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366185.997,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366186.263,0,-30,0,1,21.00,2
0x107010349013305354381890,1517366186.318,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366186.364,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366186.408,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366186.574,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366186.622,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366186.808,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366186.882,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366187.044,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366187.095,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366187.148,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366187.199,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366187.431,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366187.619,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366187.685,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366187.753,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366188.017,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366188.060,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366188.115,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366188.151,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366188.425,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366188.514,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366188.575,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366188.793,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366188.846,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366188.904,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366189.081,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366189.127,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366189.320,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366189.517,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366189.707,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366189.753,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366189.799,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366189.837,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366190.091,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366190.138,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366190.518,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366190.567,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366190.895,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366190.940,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366190.994,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366191.024,0,-29,0,1,21.00,3
0x107010349013305354381890,1517366191.175,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366191.245,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366191.343,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366191.695,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366191.979,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366192.013,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366192.100,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366192.223,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366192.476,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366192.545,0,-31,0,1,21.00,2
0x107010349013305354381890,1517366192.598,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366192.861,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366192.920,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366193.162,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366193.234,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366193.296,0,-27,0,1,21.00,3
