MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 11:37:09 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517366216.266,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366216.324,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366216.371,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366216.428,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366216.603,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366216.838,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366216.890,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366217.282,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366217.676,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366217.879,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366217.934,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366217.985,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366218.181,0,-33,0,1,21.00,2
0x107010349013305354381890,1517366218.214,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366218.280,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366218.495,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366218.544,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366218.579,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366218.610,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366218.797,0,-33,0,1,21.00,2
0x107010349013305354381890,1517366218.847,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366218.887,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366218.915,0,-26,0,1,21.00,3
0x107010349013305354381890,1517366219.193,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366219.228,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366219.559,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366219.590,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366219.855,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366219.884,0,-32,0,1,21.00,2
0x107010349013305354381890,1517366219.947,0,-28,0,1,21.00,3
0x107010349013305354381890,1517366219.964,0,-27,0,1,21.00,3
0x107010349013305354381890,1517366220.228,0,-32,0,1,21.00,2
