MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:16:46 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006041,1517372192.563,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372192.606,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372192.673,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372192.724,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372192.753,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372192.794,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372193.015,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372193.086,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372193.212,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372193.365,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372193.400,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372193.498,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372193.586,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372193.602,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372193.779,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372193.827,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372194.006,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372194.061,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372194.226,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372194.270,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372194.362,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372194.435,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372194.476,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372194.653,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372194.703,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372194.860,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372194.912,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372195.090,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372195.135,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372195.231,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372195.294,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372195.342,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372195.522,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372195.552,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372195.628,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372195.668,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372195.708,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372195.754,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372195.950,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372195.992,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372196.064,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372196.128,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372196.178,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372196.219,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372196.439,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372196.475,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372196.558,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372196.630,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372196.834,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372196.885,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372196.952,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372197.010,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372197.029,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372197.072,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372197.256,0,-24,0,1,21.00,1
0x000000000000000000006041,1517372197.308,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372197.390,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372197.439,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372197.470,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372197.518,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372197.679,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372197.730,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372197.799,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372197.849,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372197.883,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372197.940,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372198.117,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372198.162,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372198.253,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372198.288,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372198.322,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372198.362,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372198.545,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372198.585,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372198.660,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372198.741,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372198.780,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372198.826,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372199.000,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372199.041,0,-26,0,1,21.00,1
0x000000000000000000006041,1517372199.120,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372199.181,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372199.247,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372199.454,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372199.494,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372199.692,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372199.732,0,-24,0,1,21.00,3
0x000000000000000000006041,1517372199.923,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372199.974,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372200.044,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372200.091,0,-27,0,1,21.00,2
0x000000000000000000006041,1517372200.142,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372200.182,0,-25,0,1,21.00,3
0x000000000000000000006041,1517372200.368,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372200.420,0,-25,0,1,21.00,1
0x000000000000000000006041,1517372200.515,0,-27,0,1,21.00,2
