MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:19:30 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006051,1517372358.078,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372358.126,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372358.214,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372358.322,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372358.383,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372358.408,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372358.453,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372358.507,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372358.607,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372358.693,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372358.743,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372358.768,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372358.815,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372358.875,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372358.915,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372359.063,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372359.110,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372359.160,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372359.200,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372359.269,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372359.318,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372359.356,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372359.401,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372359.455,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372359.494,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372359.573,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372359.621,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372359.700,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372359.735,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372359.772,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372359.825,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372359.885,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372359.953,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372359.998,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372360.053,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372360.114,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372360.180,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372360.234,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372360.292,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372360.329,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372360.386,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372360.439,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372360.568,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372360.618,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372360.678,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372360.782,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372360.825,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372361.012,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372361.055,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372361.117,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372361.220,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372361.266,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372361.288,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372361.341,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372361.399,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372361.435,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372361.578,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372361.620,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372361.687,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372361.725,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372361.863,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372361.954,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372361.988,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372362.034,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372362.108,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372362.148,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372362.211,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372362.276,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372362.344,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372362.373,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372362.416,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372362.462,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372362.524,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372362.568,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372362.638,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372362.706,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372362.732,0,-24,0,1,21.00,4
0x000000000000000000006051,1517372362.772,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372362.828,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372362.868,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372362.954,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372363.028,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372363.165,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372363.228,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372363.263,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372363.331,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372363.369,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372363.432,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372363.460,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372363.497,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372363.552,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372363.617,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372363.653,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372363.736,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372363.825,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372363.880,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372363.953,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372364.012,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372364.305,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372364.360,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372364.423,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372364.459,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372364.509,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372364.557,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372364.628,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372364.687,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372364.742,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372364.803,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372364.847,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372364.906,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372364.977,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372365.038,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372365.097,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372365.138,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372365.205,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372365.251,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372365.391,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372365.439,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372365.498,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372365.536,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372365.614,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372365.645,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372365.699,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372365.755,0,-30,0,1,21.00,3
0x000000000000000000006051,1517372365.789,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372365.829,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372365.887,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372365.929,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372365.997,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372366.035,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372366.180,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372366.230,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372366.291,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372366.330,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372366.418,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372366.578,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372366.631,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372366.686,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372366.721,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372366.802,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372366.959,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372367.000,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372367.061,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372367.101,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372367.197,0,-31,0,1,21.00,3
0x000000000000000000006051,1517372367.249,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372367.294,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372367.349,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372367.387,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372367.544,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372367.591,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372367.646,0,-26,0,1,21.00,1
0x000000000000000000006051,1517372367.695,0,-25,0,1,21.00,1
0x000000000000000000006051,1517372367.767,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372367.805,0,-27,0,1,21.00,2
0x000000000000000000006051,1517372367.948,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372367.990,0,-25,0,1,21.00,4
0x000000000000000000006051,1517372368.045,0,-26,0,1,21.00,1
