MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 4:22:51 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515655358.168,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655358.933,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655359.298,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655359.651,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655359.699,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655360.829,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655360.870,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655361.213,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655361.257,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655361.652,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655361.728,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515655362.134,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655362.851,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655362.897,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655363.282,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655363.342,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655363.696,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655363.747,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655364.130,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655364.168,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655364.550,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655364.937,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655364.995,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655365.354,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655365.395,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515655365.828,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655365.877,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655366.864,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655367.626,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655367.667,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655368.019,0,-30,0,1,21.00,1
0x00b07a139010bc913000c7d3,1515655368.065,0,-30,0,1,21.00,1
0x000000000000000000006061,1515655358.197,0,-27,0,3,21.00,1
0x000000000000000000006061,1515655358.234,0,-20,0,3,21.00,2
0x000000000000000000006061,1515655358.272,0,-20,0,3,21.00,2
0x000000000000000000006061,1515655358.327,0,-25,0,3,21.00,3
0x000000000000000000006061,1515655358.368,0,-26,0,3,21.00,3
0x000000000000000000006061,1515655358.426,0,-18,0,3,21.00,4
0x000000000000000000006061,1515655358.471,0,-18,0,3,21.00,4
0x000000000000000000006061,1515655358.534,0,-20,0,3,21.00,2
0x000000000000000000006061,1515655358.585,0,-20,0,3,21.00,2
0x000000000000000000006061,1515655358.646,0,-26,0,3,21.00,3
0x000000000000000000006061,1515655358.692,0,-26,0,3,21.00,3
0x000000000000000000006061,1515655358.747,0,-18,0,3,21.00,4
0x000000000000000000006061,1515655358.792,0,-18,0,3,21.00,4
0x000000000000000000006061,1515655358.849,0,-25,0,3,21.00,1
0x000000000000000000006061,1515655358.896,0,-26,0,3,21.00,1
