MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:39:00 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517373527.904,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373527.958,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373528.137,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373528.643,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373528.804,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373528.842,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373529.164,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373529.197,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373529.486,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373529.532,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373529.737,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373529.937,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373530.003,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373530.225,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373530.283,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373530.719,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373530.919,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373531.185,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373531.227,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373531.414,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373531.674,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373531.949,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373532.383,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373532.424,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373532.576,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373532.623,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373532.800,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373532.861,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373533.025,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373533.075,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373533.253,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373533.470,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373533.499,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373533.901,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373533.954,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373534.160,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373534.551,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373534.580,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373534.763,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373535.059,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373535.583,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373536.089,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373536.135,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373536.600,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373536.644,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373536.834,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373537.041,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373537.096,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373537.255,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373537.324,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373537.723,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373537.898,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373537.971,0,-31,0,1,21.00,3
0x000000000000000000004005,1517373527.924,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373527.986,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373528.188,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373528.408,0,-28,0,1,21.00,3
0x000000000000000000004005,1517373528.625,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373528.818,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373529.507,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373529.728,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373529.783,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373530.013,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373530.269,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373530.495,0,-32,0,1,21.00,2
0x000000000000000000004005,1517373530.555,0,-31,0,1,21.00,2
0x000000000000000000004005,1517373530.682,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373530.888,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373531.237,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373531.394,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373531.755,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373531.924,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373531.973,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373532.161,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373532.213,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373532.871,0,-29,0,1,21.00,3
0x000000000000000000004005,1517373533.042,0,-28,0,1,21.00,3
0x000000000000000000004005,1517373533.232,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373533.282,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373533.666,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373533.708,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373533.887,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373533.944,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373534.101,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373534.145,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373534.524,0,-28,0,1,21.00,3
0x000000000000000000004005,1517373534.603,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373534.800,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373535.038,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373535.093,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373535.346,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373535.382,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373535.572,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373535.773,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373535.807,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373536.100,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373536.146,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373536.398,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373536.454,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373536.656,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373536.824,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373536.855,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373537.056,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373537.266,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373537.305,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373537.491,0,-30,0,1,21.00,3
0x000000000000000000004005,1517373537.954,0,-30,0,1,21.00,3
0x107010549013305354071900,1517373527.937,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373528.013,0,-34,0,1,21.00,4
0x107010549013305354071900,1517373528.178,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373528.366,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373528.423,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373528.608,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373528.653,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373528.794,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373528.863,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373529.759,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373529.967,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373530.235,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373530.520,0,-32,0,1,21.00,2
0x107010549013305354071900,1517373531.466,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373531.664,0,-34,0,1,21.00,3
0x107010549013305354071900,1517373532.587,0,-34,0,1,21.00,3
