MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:28:00 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006071,1517372866.979,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372867.025,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372867.083,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372867.145,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372867.187,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372867.237,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372867.285,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372867.355,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372867.407,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372867.435,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372867.534,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372867.594,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372867.651,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372867.700,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372867.783,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372867.814,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372867.846,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372867.907,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372867.984,0,-26,0,1,21.00,3
0x000000000000000000006071,1517372868.026,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372868.073,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372868.129,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372868.200,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372868.235,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372868.265,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372868.312,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372868.399,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372868.502,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372868.560,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372868.627,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372868.673,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372868.736,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372868.780,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372868.839,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372868.889,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372868.956,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372869.005,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372869.040,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372869.093,0,-22,0,1,21.00,2
0x000000000000000000006071,1517372869.150,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372869.194,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372869.247,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372869.297,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372869.384,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372869.424,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372869.450,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372869.499,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372869.551,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372869.596,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372869.656,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372869.713,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372869.807,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372869.845,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372869.866,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372869.921,0,-24,0,1,21.00,2
0x000000000000000000006071,1517372869.990,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372870.041,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372870.097,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372870.148,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372870.230,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372870.257,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372870.288,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372870.373,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372870.431,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372870.479,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372870.530,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372870.580,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372870.646,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372870.686,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372870.713,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372870.891,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372871.013,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372871.074,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372871.130,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372871.201,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372871.241,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372871.269,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372871.313,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372871.390,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372871.406,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372871.460,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372871.517,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372871.596,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372871.644,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372871.666,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372871.775,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372871.836,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372871.885,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372871.944,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372871.996,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372872.071,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372872.109,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372872.253,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372872.309,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372872.347,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372872.398,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372872.468,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372872.507,0,-22,0,1,21.00,2
0x000000000000000000006071,1517372872.569,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372872.612,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372872.668,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372872.707,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372872.777,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372872.830,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372872.922,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372872.987,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372873.036,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372873.109,0,-22,0,1,21.00,2
0x000000000000000000006071,1517372873.164,0,-22,0,1,21.00,2
0x000000000000000000006071,1517372873.228,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372873.270,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372873.326,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372873.370,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372873.431,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372873.480,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372873.524,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372873.574,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372873.642,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372873.686,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372873.735,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372873.792,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372873.864,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372873.909,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372873.960,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372874.010,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372874.069,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372874.123,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372874.172,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372874.219,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372874.311,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372874.367,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372874.391,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372874.440,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372874.535,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372874.611,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372874.669,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372874.763,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372874.798,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372874.828,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372874.883,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372874.954,0,-26,0,1,21.00,3
0x000000000000000000006071,1517372875.006,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372875.056,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372875.116,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372875.199,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372875.254,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372875.278,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372875.341,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372875.377,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372875.424,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372875.475,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372875.524,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372875.595,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372875.649,0,-22,0,1,21.00,2
0x000000000000000000006071,1517372875.727,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372875.771,0,-26,0,1,21.00,3
0x000000000000000000006071,1517372875.817,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372875.869,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372875.929,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372875.987,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372876.143,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372876.197,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372876.285,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372876.346,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372876.367,0,-22,0,1,21.00,2
0x000000000000000000006071,1517372876.411,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372876.495,0,-26,0,1,21.00,3
0x000000000000000000006071,1517372876.545,0,-27,0,1,21.00,3
0x000000000000000000006071,1517372876.599,0,-23,0,1,21.00,4
0x000000000000000000006071,1517372876.654,0,-24,0,1,21.00,4
0x000000000000000000006071,1517372876.729,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372876.759,0,-29,0,1,21.00,1
0x000000000000000000006071,1517372876.806,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372876.863,0,-23,0,1,21.00,2
0x000000000000000000006071,1517372876.988,0,-27,0,1,21.00,3
0x107010145263633097591869,1517372867.060,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372867.103,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372867.239,0,-30,0,1,21.00,4
0x107010145263633097591869,1517372867.520,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372867.734,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372867.901,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372868.077,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372868.602,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372868.720,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372869.137,0,-32,0,1,21.00,2
0x107010145263633097591869,1517372869.321,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372869.760,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372869.893,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372869.936,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372870.141,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372870.548,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372870.607,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372870.748,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372870.927,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372871.096,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372871.156,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372871.281,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372871.339,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372871.509,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372871.707,0,-31,0,1,21.00,2
0x107010145263633097591869,1517372871.980,0,-31,0,1,21.00,4
0x107010145263633097591869,1517372872.016,0,-31,0,1,21.00,4
