MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:28:16 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006071,1517372882.039,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372882.074,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372882.112,0,-24,0,1,21.00,2
0x000000000000000000006071,1517372882.221,0,-30,0,1,21.00,3
0x000000000000000000006071,1517372882.254,0,-30,0,1,21.00,3
0x000000000000000000006071,1517372882.292,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372882.347,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372882.514,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372882.568,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372882.644,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372882.678,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372882.824,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372882.884,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372882.944,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372882.978,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372883.041,0,-30,0,1,21.00,3
0x000000000000000000006071,1517372883.078,0,-30,0,1,21.00,3
0x000000000000000000006071,1517372883.116,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372883.167,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372883.360,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372883.410,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372883.495,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372883.618,0,-30,0,1,21.00,3
0x000000000000000000006071,1517372883.665,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372883.730,0,-25,0,1,21.00,4
0x000000000000000000006071,1517372883.818,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372883.853,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372883.917,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372883.962,0,-26,0,1,21.00,2
0x000000000000000000006071,1517372884.104,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372884.146,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372884.227,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372884.262,0,-30,0,1,21.00,1
0x000000000000000000006071,1517372884.470,0,-30,0,1,21.00,3
0x000000000000000000006071,1517372884.533,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372884.591,0,-26,0,1,21.00,4
0x000000000000000000006071,1517372884.675,0,-30,0,1,21.00,1
