MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:34:14 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010249722621700351874,1517373241.981,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373242.042,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373242.539,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373243.003,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373243.449,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373243.491,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373243.702,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373244.188,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373244.403,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373244.450,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373244.634,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373244.846,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373245.053,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373245.106,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373245.295,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373245.713,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373246.288,0,-32,0,1,21.00,3
0x107010249722621700351874,1517373246.532,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373246.731,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373246.769,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373246.953,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373246.997,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373247.442,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373247.649,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373248.825,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373248.880,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373249.100,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373249.300,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373249.792,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373249.836,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373250.019,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373250.277,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373250.506,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373250.712,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373250.932,0,-30,0,1,21.00,3
0x107010249722621700351874,1517373251.134,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373251.191,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373251.520,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373251.731,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373251.937,0,-31,0,1,21.00,3
0x107010249722621700351874,1517373252.134,0,-31,0,1,21.00,3
