MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:43:28 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006071,1517373797.424,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373797.467,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373797.552,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373797.669,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373797.712,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373797.750,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373797.810,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373797.857,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373797.928,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373797.959,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373798.003,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373798.065,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373798.100,0,-28,0,1,21.00,4
0x000000000000000000006071,1517373798.151,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373798.224,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373798.265,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373798.335,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373798.363,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373798.567,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373798.583,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373798.649,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373798.693,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373798.795,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373798.839,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373798.882,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373798.947,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373798.996,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373799.064,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373799.098,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373799.139,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373799.220,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373799.291,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373799.376,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373799.459,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373799.531,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373799.604,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373799.685,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373799.743,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373799.850,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373799.890,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373799.939,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373799.994,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373800.142,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373800.168,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373800.216,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373800.260,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373800.448,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373800.562,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373800.633,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373800.683,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373800.713,0,-26,0,1,21.00,3
0x000000000000000000006071,1517373800.758,0,-27,0,1,21.00,3
0x000000000000000000006071,1517373800.817,0,-29,0,1,21.00,4
0x000000000000000000006071,1517373800.896,0,-30,0,1,21.00,4
0x000000000000000000006071,1517373800.949,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373800.981,0,-29,0,1,21.00,1
0x000000000000000000006071,1517373801.025,0,-26,0,1,21.00,3
