MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/31/18  Time: 1:59:12 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010349013305354381890,1517374740.456,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374740.521,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374740.689,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374740.868,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374741.086,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374741.153,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374741.214,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374741.306,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374741.371,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374741.442,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374741.546,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374741.619,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374741.694,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374741.762,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374741.921,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374741.967,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374742.068,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374742.130,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374742.176,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374742.243,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374742.313,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374742.435,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374742.643,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374742.731,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374742.790,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374743.043,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374743.082,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374743.181,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374743.298,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374743.352,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374743.424,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374743.628,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374743.671,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374743.770,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374743.961,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374744.020,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374744.294,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374744.338,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374744.518,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374744.791,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374744.880,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374744.956,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374745.024,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374745.233,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374745.272,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374745.321,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374745.376,0,-28,0,1,21.00,3
0x107010349013305354381890,1517374745.462,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374745.582,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374745.950,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374746.009,0,-32,0,1,21.00,4
0x107010349013305354381890,1517374746.193,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374746.208,0,-27,0,1,21.00,3
0x107010349013305354381890,1517374746.278,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374746.327,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374746.662,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374746.836,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374747.112,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374747.164,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374747.226,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374747.319,0,-29,0,1,21.00,3
0x107010349013305354381890,1517374747.380,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374747.438,0,-33,0,1,21.00,4
0x107010349013305354381890,1517374747.495,0,-29,0,1,21.00,3
