MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:34:26 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006081,1515659648.904,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659648.950,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659649.011,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659649.059,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659649.207,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659649.265,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659649.322,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659649.370,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659649.422,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659649.467,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659649.622,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659649.665,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659649.722,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659649.775,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659649.831,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659649.867,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659649.921,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659649.969,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659650.024,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659650.068,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659650.120,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659650.170,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659650.237,0,-31,0,4,21.00,3
0x000000000000000000006081,1515659650.377,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659650.424,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659650.471,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659650.525,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659650.559,0,-17,0,4,21.00,2
0x000000000000000000006081,1515659650.638,0,-30,0,4,21.00,3
0x000000000000000000006081,1515659650.665,0,-29,0,4,21.00,3
0x000000000000000000006081,1515659650.710,0,-18,0,4,21.00,4
0x000000000000000000006081,1515659650.756,0,-18,0,4,21.00,4
0x000000000000000000006081,1515659650.811,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659650.850,0,-25,0,4,21.00,1
0x000000000000000000006081,1515659650.904,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659650.927,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659650.966,0,-27,0,4,21.00,3
0x000000000000000000006081,1515659651.011,0,-27,0,4,21.00,3
0x000000000000000000006081,1515659651.054,0,-18,0,4,21.00,4
0x000000000000000000006081,1515659651.096,0,-18,0,4,21.00,4
0x000000000000000000006081,1515659651.154,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659651.198,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659651.253,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659651.289,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659651.431,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659651.473,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659651.527,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659651.587,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659651.639,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659651.687,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659651.850,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659651.890,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659651.942,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659651.988,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659652.042,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659652.095,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659652.269,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659652.313,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659652.367,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659652.413,0,-24,0,4,21.00,1
0x000000000000000000006081,1515659652.475,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659652.519,0,-16,0,4,21.00,2
0x000000000000000000006081,1515659652.668,0,-17,0,4,21.00,4
0x000000000000000000006081,1515659652.753,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659652.806,0,-25,0,1,21.00,1
0x000000000000000000006081,1515659652.860,0,-25,0,1,21.00,1
0x000000000000000000006081,1515659652.915,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659652.950,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659653.030,0,-32,0,1,21.00,3
0x000000000000000000006081,1515659653.083,0,-32,0,1,21.00,3
0x000000000000000000006081,1515659653.108,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659653.147,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659653.259,0,-25,0,1,21.00,1
0x000000000000000000006081,1515659653.321,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659653.367,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659653.517,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659653.564,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659653.629,0,-25,0,1,21.00,1
0x000000000000000000006081,1515659653.679,0,-26,0,1,21.00,1
0x000000000000000000006081,1515659653.740,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659653.786,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659653.865,0,-32,0,1,21.00,3
0x000000000000000000006081,1515659653.910,0,-32,0,1,21.00,3
0x000000000000000000006081,1515659653.948,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659653.992,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659654.047,0,-25,0,1,21.00,1
0x000000000000000000006081,1515659654.090,0,-26,0,1,21.00,1
0x000000000000000000006081,1515659654.143,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659654.188,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659654.268,0,-32,0,1,21.00,3
0x000000000000000000006081,1515659654.328,0,-32,0,1,21.00,3
0x000000000000000000006081,1515659654.390,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659654.450,0,-26,0,1,21.00,1
0x000000000000000000006081,1515659654.498,0,-26,0,1,21.00,1
0x000000000000000000006081,1515659654.554,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659654.605,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659654.696,0,-32,0,1,21.00,3
0x000000000000000000006081,1515659654.756,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659654.799,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659654.858,0,-26,0,1,21.00,1
0x000000000000000000006081,1515659654.903,0,-25,0,1,21.00,1
0x000000000000000000006081,1515659654.959,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659655.004,0,-16,0,1,21.00,2
0x000000000000000000006081,1515659655.155,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659655.199,0,-16,0,1,21.00,4
0x000000000000000000006081,1515659655.257,0,-26,0,1,21.00,1
0x000000000000000000006081,1515659655.299,0,-26,0,1,21.00,1
0x000000000000000000006081,1515659655.357,0,-17,0,1,21.00,2
