MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/11/18  Time: 5:38:58 Χ΋

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x00b07a139010bc913000c7d3,1515659924.568,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659924.624,0,-30,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659924.978,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659925.333,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659925.366,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659925.756,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659925.793,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659926.152,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659926.215,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659926.562,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659926.613,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659926.973,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659927.008,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659927.376,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659927.417,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659927.794,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659927.846,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659928.209,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659928.237,0,-31,0,2,21.00,1
0x00b07a139010bc913000c7d3,1515659928.945,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659929.005,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659929.355,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659929.400,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659929.763,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659929.817,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659930.475,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659930.518,0,-30,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659930.854,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659930.897,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659932.040,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659932.088,0,-31,0,3,21.00,1
0x00b07a139010bc913000c7d3,1515659932.429,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659932.456,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659932.805,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659933.138,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659933.184,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659933.457,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659933.511,0,-32,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659933.800,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659934.074,0,-30,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659934.130,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659935.003,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659935.064,0,-31,0,4,21.00,1
0x00b07a139010bc913000c7d3,1515659935.411,0,-32,0,4,21.00,1
0x107010549013305354071900,1515659924.609,0,-33,0,2,21.00,1
0x107010549013305354071900,1515659924.968,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659925.019,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659925.323,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659925.375,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659925.737,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659925.783,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659926.165,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659926.600,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659927.808,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659927.863,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659928.200,0,-33,0,2,21.00,1
0x107010549013305354071900,1515659928.254,0,-34,0,2,21.00,1
0x107010549013305354071900,1515659928.970,0,-34,0,3,21.00,1
0x107010549013305354071900,1515659929.377,0,-33,0,3,21.00,1
0x107010549013305354071900,1515659929.774,0,-33,0,3,21.00,1
0x107010549013305354071900,1515659929.804,0,-33,0,3,21.00,1
0x107010549013305354071900,1515659930.486,0,-33,0,3,21.00,1
0x107010549013305354071900,1515659930.527,0,-33,0,3,21.00,1
0x107010549013305354071900,1515659930.875,0,-33,0,3,21.00,1
0x107010549013305354071900,1515659931.136,0,-34,0,3,21.00,4
0x107010549013305354071900,1515659931.176,0,-34,0,3,21.00,4
0x107010549013305354071900,1515659932.051,0,-33,0,3,21.00,1
0x107010549013305354071900,1515659933.473,0,-33,0,4,21.00,1
0x107010549013305354071900,1515659933.783,0,-33,0,4,21.00,1
0x107010549013305354071900,1515659933.820,0,-34,0,4,21.00,1
0x107010549013305354071900,1515659933.986,0,-34,0,4,21.00,4
0x107010549013305354071900,1515659934.014,0,-34,0,4,21.00,4
0x000000000000000000006081,1515659924.637,0,-29,0,2,21.00,1
0x000000000000000000006081,1515659924.698,0,-26,0,2,21.00,2
0x000000000000000000006081,1515659924.738,0,-27,0,2,21.00,3
0x000000000000000000006081,1515659924.809,0,-28,0,2,21.00,3
0x000000000000000000006081,1515659924.883,0,-29,0,2,21.00,4
0x000000000000000000006081,1515659924.958,0,-28,0,2,21.00,1
0x000000000000000000006081,1515659925.007,0,-28,0,2,21.00,1
0x000000000000000000006081,1515659925.089,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659925.119,0,-28,0,2,21.00,3
0x000000000000000000006081,1515659925.170,0,-29,0,2,21.00,3
0x000000000000000000006081,1515659925.348,0,-28,0,2,21.00,1
0x000000000000000000006081,1515659925.431,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659925.476,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659925.547,0,-29,0,2,21.00,3
0x000000000000000000006081,1515659925.616,0,-29,0,2,21.00,3
0x000000000000000000006081,1515659925.697,0,-29,0,2,21.00,4
0x000000000000000000006081,1515659925.724,0,-27,0,2,21.00,1
0x000000000000000000006081,1515659925.768,0,-27,0,2,21.00,1
0x000000000000000000006081,1515659925.872,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659925.901,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659925.941,0,-29,0,2,21.00,3
0x000000000000000000006081,1515659925.981,0,-29,0,2,21.00,3
0x000000000000000000006081,1515659926.075,0,-29,0,2,21.00,4
0x000000000000000000006081,1515659926.131,0,-27,0,2,21.00,1
0x000000000000000000006081,1515659926.200,0,-28,0,2,21.00,1
0x000000000000000000006081,1515659926.262,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659926.296,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659926.367,0,-29,0,2,21.00,3
0x000000000000000000006081,1515659926.394,0,-28,0,2,21.00,3
0x000000000000000000006081,1515659926.449,0,-29,0,2,21.00,4
0x000000000000000000006081,1515659926.504,0,-30,0,2,21.00,4
0x000000000000000000006081,1515659926.544,0,-27,0,2,21.00,1
0x000000000000000000006081,1515659926.581,0,-27,0,2,21.00,1
0x000000000000000000006081,1515659926.653,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659926.695,0,-25,0,2,21.00,2
0x000000000000000000006081,1515659926.742,0,-28,0,2,21.00,3
0x000000000000000000006081,1515659926.790,0,-28,0,2,21.00,3
