MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/18/18  Time: 11:19:51 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x107010549013305354071900,1516241979.605,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241979.667,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241979.742,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241979.806,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.064,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.128,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.213,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.245,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.391,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.425,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.762,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241980.797,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241980.928,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241980.961,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241981.135,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241981.168,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241981.325,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241981.375,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241981.545,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241981.583,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241981.886,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241981.920,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.072,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.133,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.395,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.535,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.568,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.723,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.763,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.904,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241982.942,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.010,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.046,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241983.188,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.224,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.341,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.616,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.678,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.847,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241983.926,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.077,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.136,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.461,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.491,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.677,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.711,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.856,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241984.888,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241985.204,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241985.262,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241985.434,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241985.489,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241985.648,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241985.719,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241985.883,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241985.953,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241986.137,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241986.168,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241986.338,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241986.375,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241986.518,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241986.571,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241986.795,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241986.822,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241987.030,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241987.085,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241987.237,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241987.275,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241987.546,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241987.580,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241987.965,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241988.067,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241988.224,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241988.430,0,-28,0,1,24.00,4
0x107010549013305354071900,1516241988.461,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241988.525,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241988.560,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241988.793,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241988.829,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241989.148,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241989.194,0,-29,0,1,24.00,4
