MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/18/18  Time: 11:08:53 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006031,1516241320.823,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241320.928,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241320.987,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241321.024,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241321.086,0,-15,0,1,24.00,3
0x000000000000000000006031,1516241321.141,0,-16,0,1,24.00,3
0x000000000000000000006031,1516241321.198,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241321.266,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241321.323,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241321.351,0,-21,0,1,24.00,1
0x000000000000000000006031,1516241321.452,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241321.495,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241321.543,0,-15,0,1,24.00,3
0x000000000000000000006031,1516241321.571,0,-15,0,1,24.00,3
0x000000000000000000006031,1516241321.642,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241321.680,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241321.715,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241321.731,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241321.816,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241321.860,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241321.913,0,-15,0,1,24.00,3
0x000000000000000000006031,1516241322.005,0,-15,0,1,24.00,3
0x000000000000000000006031,1516241322.064,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241322.108,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241322.158,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241322.238,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241322.277,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241322.322,0,-21,0,1,24.00,2
0x000000000000000000006031,1516241322.375,0,-16,0,1,24.00,3
0x000000000000000000006031,1516241322.409,0,-15,0,1,24.00,3
0x000000000000000000006031,1516241322.494,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241322.553,0,-16,0,1,24.00,4
0x000000000000000000006031,1516241322.599,0,-20,0,1,24.00,1
0x000000000000000000006031,1516241322.673,0,-19,0,1,24.00,1
