MultiReader - Tags Read History Results
Test Description: 
Test Date: 01/18/18  Time: 11:11:48 Œß‘O

EPCValue,TimeStamp,RunNum,RSSI,Reader,Channel,Power,Antenna
0x000000000000000000006061,1516241493.947,0,-28,0,1,24.00,1
0x000000000000000000006061,1516241493.985,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241494.015,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241494.061,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241494.099,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241494.154,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241494.213,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241494.251,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241494.324,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241494.377,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241494.419,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241494.475,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241494.620,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241494.649,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241494.692,0,-20,0,1,24.00,3
0x000000000000000000006061,1516241494.716,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241494.798,0,-23,0,1,24.00,4
0x000000000000000000006061,1516241494.844,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241494.909,0,-20,0,1,24.00,3
0x000000000000000000006061,1516241494.961,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241495.017,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241495.067,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241495.132,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241495.288,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241495.348,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241495.414,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241495.541,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241495.588,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241495.805,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241495.855,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241495.882,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241495.932,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241496.015,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241496.302,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241496.363,0,-20,0,1,24.00,3
0x000000000000000000006061,1516241496.416,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241496.465,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241496.528,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241496.559,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241496.669,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241496.717,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241496.757,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241496.851,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241496.908,0,-25,0,1,24.00,4
0x000000000000000000006061,1516241496.956,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241497.016,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241497.081,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241497.131,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241497.190,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241497.250,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241497.334,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241497.430,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241497.490,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241497.549,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241497.643,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241497.688,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241497.829,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241497.854,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241497.883,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241497.933,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241497.962,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241498.046,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241498.129,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241498.215,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241498.286,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241498.330,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241498.393,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241498.431,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241498.617,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241498.673,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241498.714,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241498.759,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241498.844,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241498.917,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241499.025,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241499.057,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241499.101,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241499.190,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241499.321,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241499.447,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241499.513,0,-20,0,1,24.00,3
0x000000000000000000006061,1516241499.574,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241499.656,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241499.827,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241499.926,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241499.978,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241500.038,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241500.433,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241500.484,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241500.592,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241500.653,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241500.750,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241500.780,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241500.854,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241500.903,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241500.938,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241501.003,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241501.074,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241501.111,0,-28,0,1,24.00,1
0x000000000000000000006061,1516241501.181,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241501.218,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241501.259,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241501.281,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241501.343,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241501.386,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241501.521,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241501.574,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241501.627,0,-25,0,1,24.00,4
0x000000000000000000006061,1516241501.667,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241501.767,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241501.822,0,-28,0,1,24.00,1
0x000000000000000000006061,1516241501.915,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241501.985,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241502.019,0,-20,0,1,24.00,3
0x000000000000000000006061,1516241502.109,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241502.178,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241502.263,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241502.331,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241502.371,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241502.453,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241502.488,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241502.547,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241502.667,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241502.701,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241502.747,0,-20,0,1,24.00,3
0x000000000000000000006061,1516241502.811,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241502.846,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241502.904,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241503.016,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241503.045,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241503.072,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241503.143,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241503.201,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241503.372,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241503.421,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241503.550,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241503.604,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241503.683,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241503.737,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241503.868,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241503.908,0,-30,0,1,24.00,2
0x000000000000000000006061,1516241503.953,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241504.019,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241504.069,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241504.100,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241504.162,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241504.190,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241504.215,0,-21,0,1,24.00,3
0x000000000000000000006061,1516241504.275,0,-20,0,1,24.00,3
0x000000000000000000006061,1516241504.313,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241504.354,0,-24,0,1,24.00,4
0x000000000000000000006061,1516241504.403,0,-27,0,1,24.00,1
0x000000000000000000006061,1516241504.435,0,-28,0,1,24.00,1
0x000000000000000000006061,1516241504.475,0,-21,0,1,24.00,3
0x108010149027770798513227,1516241494.025,0,-34,0,1,24.00,2
0x108010149027770798513227,1516241494.052,0,-34,0,1,24.00,2
0x108010149027770798513227,1516241495.734,0,-34,0,1,24.00,2
0x108010149027770798513227,1516241495.762,0,-34,0,1,24.00,2
0x108010149027770798513227,1516241496.679,0,-34,0,1,24.00,2
0x108010149027770798513227,1516241496.728,0,-34,0,1,24.00,2
0x107010249722621700351875,1516241494.034,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241494.609,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241494.663,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241495.257,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241495.306,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241495.722,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241495.780,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241496.163,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241496.228,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241498.598,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241498.649,0,-32,0,1,24.00,2
0x107010249722621700351875,1516241499.743,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241499.795,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241503.282,0,-33,0,1,24.00,2
0x107010249722621700351875,1516241503.333,0,-33,0,1,24.00,2
0x107010549013305354071900,1516241494.211,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241494.254,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241494.416,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241494.489,0,-30,0,1,24.00,4
0x107010549013305354071900,1516241494.805,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241494.879,0,-30,0,1,24.00,4
0x107010549013305354071900,1516241495.069,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241495.897,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241495.936,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241496.413,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241496.461,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241496.919,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241496.952,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241497.268,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241497.346,0,-30,0,1,24.00,4
0x107010549013305354071900,1516241497.647,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241497.706,0,-30,0,1,24.00,4
0x107010549013305354071900,1516241498.136,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241498.212,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241498.777,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241498.857,0,-30,0,1,24.00,4
0x107010549013305354071900,1516241499.063,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241499.141,0,-30,0,1,24.00,4
0x107010549013305354071900,1516241499.355,0,-32,0,1,24.00,1
0x107010549013305354071900,1516241499.571,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241499.661,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241499.975,0,-29,0,1,24.00,4
0x107010549013305354071900,1516241500.031,0,-29,0,1,24.00,4
